sample_id,t_delta,t_start,t_end,psnr,clip_edited
312000000009,0.0,0.9,0.3,17.158451080322266,14.747097969055176
312000000009,0.0,1.0,0.3,15.300811767578123,14.727899551391602
313000000000,0.0,0.0,0.3,18.888336181640625,22.738758087158203
313000000000,0.0,0.1,0.3,18.89483642578125,22.612802505493164
313000000000,0.0,0.2,0.3,18.89913749694824,22.630136489868164
313000000000,0.0,0.3,0.3,18.79363250732422,22.43311309814453
313000000000,0.0,0.4,0.3,18.744457244873047,22.48985290527344
313000000000,0.0,0.5,0.3,18.031206130981445,22.191225051879883
313000000000,0.0,0.6,0.3,17.361587524414062,24.833297729492188
313000000000,0.0,0.7,0.3,17.943641662597656,22.3965072631836
313000000000,0.0,0.8,0.3,15.83926486968994,20.927175521850582
313000000000,0.0,0.9,0.3,15.875948905944824,22.919363021850582
313000000000,0.0,1.0,0.3,14.935298919677734,24.71466445922852
313000000001,0.0,0.0,0.3,27.28603744506836,20.829620361328125
313000000001,0.0,0.1,0.3,27.298315048217773,20.9183292388916
313000000001,0.0,0.2,0.3,27.19283866882324,21.56046295166016
313000000001,0.0,0.3,0.3,26.89291763305664,21.592187881469727
313000000001,0.0,0.4,0.3,26.35993385314941,20.042211532592773
313000000001,0.0,0.5,0.3,25.68175506591797,21.66976928710937
313000000001,0.0,0.6,0.3,24.20150184631348,21.068214416503903
313000000001,0.0,0.7,0.3,20.46540641784668,19.40178871154785
313000000001,0.0,0.8,0.3,19.077863693237305,24.36617088317871
313000000001,0.0,0.9,0.3,19.91790008544922,22.546113967895508
313000000001,0.0,1.0,0.3,19.27876663208008,23.225322723388672
313000000002,0.0,0.0,0.3,22.947237014770508,20.70945167541504
313000000002,0.0,0.1,0.3,22.93425941467285,20.721254348754883
313000000002,0.0,0.2,0.3,22.915807723999023,20.83966636657715
313000000002,0.0,0.3,0.3,22.870201110839844,20.79424476623535
313000000002,0.0,0.4,0.3,22.80308532714844,20.879623413085938
313000000002,0.0,0.5,0.3,22.55501937866211,21.06134414672852
313000000002,0.0,0.6,0.3,22.18030548095703,21.495210647583008
313000000002,0.0,0.7,0.3,21.633909225463867,21.3074951171875
313000000002,0.0,0.8,0.3,20.309844970703125,21.31796836853028
313000000002,0.0,0.9,0.3,17.91585350036621,21.586498260498047
313000000002,0.0,1.0,0.3,15.817386627197266,20.390125274658203
313000000003,0.0,0.0,0.3,17.408050537109375,18.153295516967773
313000000003,0.0,0.1,0.3,17.412874221801758,18.20121383666992
313000000003,0.0,0.2,0.3,17.415063858032227,18.28022575378418
313000000003,0.0,0.3,0.3,17.329593658447266,17.58319854736328
313000000003,0.0,0.4,0.3,17.325218200683594,18.30749893188477
313000000003,0.0,0.5,0.3,17.327932357788086,19.148496627807617
313000000003,0.0,0.6,0.3,16.86716079711914,19.312875747680664
313000000003,0.0,0.7,0.3,16.441434860229492,19.68589782714844
313000000003,0.0,0.8,0.3,15.37677764892578,20.28648567199707
313000000003,0.0,0.9,0.3,13.6915864944458,19.65664863586425
313000000003,0.0,1.0,0.3,13.012146949768066,20.17847442626953
313000000004,0.0,0.0,0.3,23.598716735839844,12.637933731079102
313000000004,0.0,0.1,0.3,23.593624114990234,13.953781127929688
313000000004,0.0,0.2,0.3,23.58058357238769,12.703317642211914
313000000004,0.0,0.3,0.3,23.138126373291016,14.34223175048828
313000000004,0.0,0.4,0.3,22.74342536926269,15.628978729248049
313000000004,0.0,0.5,0.3,21.94031143188477,17.263254165649414
313000000004,0.0,0.6,0.3,20.766691207885746,16.340423583984375
313000000004,0.0,0.7,0.3,16.5755672454834,14.59017848968506
313000000004,0.0,0.8,0.3,14.963509559631348,19.06116104125977
313000000004,0.0,0.9,0.3,14.535411834716797,18.53986549377441
313000000004,0.0,1.0,0.3,14.609711647033691,19.28762435913086
313000000005,0.0,0.0,0.3,21.799537658691406,13.07656478881836
313000000005,0.0,0.1,0.3,21.796253204345703,12.91069793701172
313000000005,0.0,0.2,0.3,21.799053192138672,12.826204299926758
313000000005,0.0,0.3,0.3,21.73782730102539,12.760543823242188
313000000005,0.0,0.4,0.3,21.62874794006348,12.063753128051758
313000000005,0.0,0.5,0.3,21.13421440124512,13.315937042236328
313000000005,0.0,0.6,0.3,20.73167991638184,13.628384590148926
313000000005,0.0,0.7,0.3,18.501121520996094,12.66420078277588
313000000005,0.0,0.8,0.3,16.766630172729492,13.393669128417969
313000000005,0.0,0.9,0.3,15.779925346374512,13.22604751586914
313000000005,0.0,1.0,0.3,14.392876625061035,15.950228691101074
313000000006,0.0,0.0,0.3,24.586429595947266,19.57776641845703
313000000006,0.0,0.1,0.3,24.58489990234375,19.38987159729004
313000000006,0.0,0.2,0.3,24.57065963745117,19.1199951171875
313000000006,0.0,0.3,0.3,24.49889373779297,19.10618782043457
313000000006,0.0,0.4,0.3,24.530595779418945,19.218196868896484
313000000006,0.0,0.5,0.3,24.10910415649414,18.995485305786133
313000000006,0.0,0.6,0.3,23.35701942443848,17.68981170654297
313000000006,0.0,0.7,0.3,21.321531295776367,16.58281898498535
313000000006,0.0,0.8,0.3,16.3453311920166,18.578746795654297
313000000006,0.0,0.9,0.3,15.240375518798828,18.593233108520508
313000000006,0.0,1.0,0.3,15.589459419250488,21.30368423461914
313000000007,0.0,0.0,0.3,21.557950973510746,19.39998435974121
313000000007,0.0,0.1,0.3,21.56225204467773,19.810657501220703
313000000007,0.0,0.2,0.3,21.554651260375977,20.332996368408203
313000000007,0.0,0.3,0.3,21.38384437561035,19.86324691772461
313000000007,0.0,0.4,0.3,21.13457298278809,23.170211791992188
313000000007,0.0,0.5,0.3,20.723657608032227,21.832143783569336
313000000007,0.0,0.6,0.3,20.752668380737305,20.852094650268555
313000000007,0.0,0.7,0.3,19.784080505371094,20.63504219055176
313000000007,0.0,0.8,0.3,19.93810272216797,21.2253360748291
313000000007,0.0,0.9,0.3,18.03067970275879,24.083526611328125
313000000007,0.0,1.0,0.3,16.634029388427734,22.60716819763184
313000000008,0.0,0.0,0.3,23.08806800842285,11.879571914672852
313000000008,0.0,0.1,0.3,23.09394073486328,11.686484336853027
313000000008,0.0,0.2,0.3,23.077970504760746,12.01996612548828
313000000008,0.0,0.3,0.3,22.921375274658203,12.409818649291992
313000000008,0.0,0.4,0.3,22.60796356201172,14.46793270111084
313000000008,0.0,0.5,0.3,21.84638977050781,13.257601737976074
313000000008,0.0,0.6,0.3,21.66069984436035,10.543285369873049
313000000008,0.0,0.7,0.3,21.29910087585449,16.810083389282227
313000000008,0.0,0.8,0.3,20.68304443359375,11.64348030090332
313000000008,0.0,0.9,0.3,19.50467109680176,20.82023048400879
313000000008,0.0,1.0,0.3,20.0762939453125,17.799802780151367
313000000009,0.0,0.0,0.3,23.55953025817871,10.020383834838867
313000000009,0.0,0.1,0.3,23.53822326660156,10.306715965270996
313000000009,0.0,0.2,0.3,23.51758575439453,10.4647855758667
313000000009,0.0,0.3,0.3,23.436843872070312,10.297507286071776
313000000009,0.0,0.4,0.3,23.22604179382324,11.048396110534668
313000000009,0.0,0.5,0.3,22.4230899810791,21.47577476501465
313000000009,0.0,0.6,0.3,22.30956268310547,19.498367309570312
313000000009,0.0,0.7,0.3,22.0644588470459,18.43489646911621
313000000009,0.0,0.8,0.3,20.245874404907227,20.48271942138672
313000000009,0.0,0.9,0.3,18.84896278381348,17.20442771911621
313000000009,0.0,1.0,0.3,17.71149444580078,15.727755546569824
314000000000,0.0,0.0,0.3,24.67896270751953,16.062719345092773
314000000000,0.0,0.1,0.3,24.671205520629883,16.083942413330078
314000000000,0.0,0.2,0.3,24.6667423248291,16.102115631103516
314000000000,0.0,0.3,0.3,24.58710289001465,16.024211883544922
314000000000,0.0,0.4,0.3,24.448118209838867,16.094928741455078
314000000000,0.0,0.5,0.3,23.830066680908203,16.14971923828125
314000000000,0.0,0.6,0.3,22.967071533203125,16.222675323486328
314000000000,0.0,0.7,0.3,21.70611000061035,16.515499114990234
314000000000,0.0,0.8,0.3,20.686464309692383,16.100603103637695
314000000000,0.0,0.9,0.3,16.87765121459961,16.80575942993164
314000000000,0.0,1.0,0.3,13.717501640319824,16.024826049804688
314000000001,0.0,0.0,0.3,25.24399948120117,14.69080924987793
314000000001,0.0,0.1,0.3,25.2282829284668,14.49289608001709
314000000001,0.0,0.2,0.3,25.161869049072266,14.745271682739258
314000000001,0.0,0.3,0.3,25.01041603088379,15.523931503295898
314000000001,0.0,0.4,0.3,24.58868789672852,14.92098903656006
314000000001,0.0,0.5,0.3,24.60104179382324,15.972820281982422
314000000001,0.0,0.6,0.3,22.64219665527344,16.065698623657227
314000000001,0.0,0.7,0.3,19.61506462097168,20.089075088500977
314000000001,0.0,0.8,0.3,19.57671356201172,20.45789337158203
314000000001,0.0,0.9,0.3,19.508657455444336,21.365901947021484
314000000001,0.0,1.0,0.3,15.44007968902588,19.57474708557129
314000000002,0.0,0.0,0.3,24.247722625732425,20.16454696655273
314000000002,0.0,0.1,0.3,24.216007232666016,20.46551513671875
314000000002,0.0,0.2,0.3,24.12657928466797,20.86763381958008
314000000002,0.0,0.3,0.3,23.977344512939453,19.99692726135254
314000000002,0.0,0.4,0.3,23.70504570007324,19.38902473449707
314000000002,0.0,0.5,0.3,23.34433555603028,19.454769134521484
314000000002,0.0,0.6,0.3,22.84688377380371,21.83481979370117
314000000002,0.0,0.7,0.3,22.039989471435547,20.960498809814453
314000000002,0.0,0.8,0.3,20.020294189453125,22.61455726623535
314000000002,0.0,0.9,0.3,17.31807518005371,21.53235626220703
314000000002,0.0,1.0,0.3,14.376484870910645,22.562644958496094
314000000003,0.0,0.0,0.3,18.56738471984864,21.48234367370605
314000000003,0.0,0.1,0.3,18.56315994262696,21.22471237182617
314000000003,0.0,0.2,0.3,18.55206298828125,21.31506729125977
314000000003,0.0,0.3,0.3,18.47250747680664,21.442079544067383
314000000003,0.0,0.4,0.3,18.39554977416992,20.18251609802246
314000000003,0.0,0.5,0.3,18.188152313232425,19.453582763671875
314000000003,0.0,0.6,0.3,17.980297088623047,20.6260986328125
314000000003,0.0,0.7,0.3,17.69217872619629,18.605514526367188
314000000003,0.0,0.8,0.3,17.66408920288086,20.59731674194336
314000000003,0.0,0.9,0.3,17.654239654541016,17.629024505615234
314000000003,0.0,1.0,0.3,17.42251968383789,19.89779663085937
314000000004,0.0,0.0,0.3,21.538867950439453,23.156980514526367
314000000004,0.0,0.1,0.3,21.53706169128418,23.851247787475582
314000000004,0.0,0.2,0.3,21.534542083740234,23.39873504638672
314000000004,0.0,0.3,0.3,21.50032997131348,23.272878646850582
314000000004,0.0,0.4,0.3,21.42778968811035,25.08013916015625
314000000004,0.0,0.5,0.3,21.408611297607425,24.60888671875
314000000004,0.0,0.6,0.3,21.150440216064453,23.487913131713867
314000000004,0.0,0.7,0.3,20.273054122924805,24.890804290771484
314000000004,0.0,0.8,0.3,19.9437313079834,24.91067123413086
314000000004,0.0,0.9,0.3,19.56362533569336,25.18446350097656
314000000004,0.0,1.0,0.3,18.85428810119629,25.332910537719727
314000000005,0.0,0.0,0.3,22.540401458740234,22.201038360595703
314000000005,0.0,0.1,0.3,22.53594970703125,22.755327224731445
314000000005,0.0,0.2,0.3,22.53099822998047,22.031726837158203
314000000005,0.0,0.3,0.3,22.42811584472656,22.09628677368164
314000000005,0.0,0.4,0.3,22.31883811950684,22.90448570251465
314000000005,0.0,0.5,0.3,22.011293411254883,22.234769821166992
314000000005,0.0,0.6,0.3,21.1234073638916,22.535091400146484
314000000005,0.0,0.7,0.3,18.688945770263672,20.21887588500977
314000000005,0.0,0.8,0.3,18.840023040771484,21.146913528442383
314000000005,0.0,0.9,0.3,18.020732879638672,19.410552978515625
314000000005,0.0,1.0,0.3,17.686420440673828,20.665847778320312
314000000006,0.0,0.0,0.3,20.31620979309082,20.666030883789062
314000000006,0.0,0.1,0.3,20.30744743347168,20.618452072143555
314000000006,0.0,0.2,0.3,20.26248359680176,20.642194747924805
314000000006,0.0,0.3,0.3,20.21415328979492,20.644577026367188
314000000006,0.0,0.4,0.3,20.214962005615234,20.98375701904297
314000000006,0.0,0.5,0.3,20.208860397338867,21.12725830078125
314000000006,0.0,0.6,0.3,19.85312461853028,24.454530715942383
314000000006,0.0,0.7,0.3,19.629243850708008,21.31512451171875
314000000006,0.0,0.8,0.3,17.121536254882812,20.14391326904297
314000000006,0.0,0.9,0.3,18.155622482299805,20.451047897338867
314000000006,0.0,1.0,0.3,17.945045471191406,19.33231544494629
314000000007,0.0,0.0,0.3,19.298471450805664,17.269975662231445
314000000007,0.0,0.1,0.3,19.29931640625,17.159454345703125
314000000007,0.0,0.2,0.3,19.25530433654785,16.104066848754883
314000000007,0.0,0.3,0.3,18.9990177154541,15.208980560302734
314000000007,0.0,0.4,0.3,18.2297306060791,14.397849082946776
314000000007,0.0,0.5,0.3,17.73946762084961,18.049728393554688
314000000007,0.0,0.6,0.3,17.8797550201416,18.818906784057617
314000000007,0.0,0.7,0.3,17.453144073486328,16.781906127929688
314000000007,0.0,0.8,0.3,17.187931060791016,17.447525024414062
314000000007,0.0,0.9,0.3,16.574249267578125,17.295551300048828
314000000007,0.0,1.0,0.3,15.864250183105469,17.455629348754883
314000000008,0.0,0.0,0.3,20.93448829650879,16.87847137451172
314000000008,0.0,0.1,0.3,20.92760467529297,17.006887435913086
314000000008,0.0,0.2,0.3,20.87493133544922,17.409860610961914
314000000008,0.0,0.3,0.3,20.766063690185547,17.514907836914062
314000000008,0.0,0.4,0.3,20.64084243774414,18.335363388061523
314000000008,0.0,0.5,0.3,19.60210418701172,18.46772193908692
314000000008,0.0,0.6,0.3,20.106237411499023,17.863576889038086
314000000008,0.0,0.7,0.3,19.85908508300781,17.59318733215332
314000000008,0.0,0.8,0.3,18.783132553100582,17.864967346191406
314000000008,0.0,0.9,0.3,17.755483627319336,17.276784896850586
314000000008,0.0,1.0,0.3,17.950044631958008,17.400768280029297
314000000009,0.0,0.0,0.3,16.193986892700195,19.69020271301269
314000000009,0.0,0.1,0.3,16.196258544921875,19.563644409179688
314000000009,0.0,0.2,0.3,16.191390991210938,19.431900024414062
314000000009,0.0,0.3,0.3,16.09417724609375,19.500776290893555
314000000009,0.0,0.4,0.3,15.917738914489746,18.601221084594727
314000000009,0.0,0.5,0.3,15.724979400634766,20.507030487060547
314000000009,0.0,0.6,0.3,15.187207221984863,19.67121696472168
314000000009,0.0,0.7,0.3,14.415083885192873,15.606096267700195
314000000009,0.0,0.8,0.3,14.620996475219728,21.33773803710937
314000000009,0.0,0.9,0.3,14.81314182281494,15.873411178588867
314000000009,0.0,1.0,0.3,13.398111343383787,18.010324478149414
321000000000,0.0,0.0,0.3,22.942333221435547,11.839069366455078
321000000000,0.0,0.1,0.3,22.960384368896484,12.93643283843994
321000000000,0.0,0.2,0.3,22.88541412353516,12.95814323425293
321000000000,0.0,0.3,0.3,22.64772224426269,12.32193374633789
321000000000,0.0,0.4,0.3,22.460922241210938,12.109403610229492
321000000000,0.0,0.5,0.3,21.88011741638184,12.69572639465332
321000000000,0.0,0.6,0.3,21.15007972717285,15.013277053833008
321000000000,0.0,0.7,0.3,18.24990463256836,17.446870803833008
321000000000,0.0,0.8,0.3,18.625524520874023,16.775165557861328
321000000000,0.0,0.9,0.3,18.63325500488281,12.228781700134276
321000000000,0.0,1.0,0.3,18.969385147094727,12.416275024414062
321000000001,0.0,0.0,0.3,20.969947814941406,14.238168716430664
321000000001,0.0,0.1,0.3,20.973482131958008,14.065731048583984
321000000001,0.0,0.2,0.3,20.86506462097168,14.27050495147705
321000000001,0.0,0.3,0.3,20.531702041625977,13.946527481079102
321000000001,0.0,0.4,0.3,20.02032470703125,13.953449249267578
321000000001,0.0,0.5,0.3,19.68239021301269,12.822553634643556
321000000001,0.0,0.6,0.3,18.636381149291992,14.225859642028809
321000000001,0.0,0.7,0.3,17.36642074584961,14.415301322937012
321000000001,0.0,0.8,0.3,16.396100997924805,18.13044548034668
321000000001,0.0,0.9,0.3,16.314693450927734,18.2456283569336
321000000001,0.0,1.0,0.3,14.72988510131836,18.0631160736084
321000000002,0.0,0.0,0.3,16.9068603515625,22.78434181213379
321000000002,0.0,0.1,0.3,16.904874801635742,22.80243682861328
321000000002,0.0,0.2,0.3,16.901962280273438,21.99588394165039
321000000002,0.0,0.3,0.3,16.88706398010254,22.93478775024414
321000000002,0.0,0.4,0.3,16.865619659423828,24.360063552856445
321000000002,0.0,0.5,0.3,16.817825317382812,25.574541091918945
321000000002,0.0,0.6,0.3,16.854124069213867,25.747358322143555
321000000002,0.0,0.7,0.3,16.812562942504883,22.544469833374023
321000000002,0.0,0.8,0.3,16.747581481933594,26.48161697387696
321000000002,0.0,0.9,0.3,16.67885971069336,27.48365020751953
321000000002,0.0,1.0,0.3,16.372629165649414,25.102373123168945
321000000003,0.0,0.0,0.3,23.690874099731445,13.777682304382324
321000000003,0.0,0.1,0.3,23.72676658630371,14.237801551818848
321000000003,0.0,0.2,0.3,23.76801872253418,14.27572250366211
321000000003,0.0,0.3,0.3,23.56338119506836,14.265264511108398
321000000003,0.0,0.4,0.3,23.31757354736328,15.019680976867676
321000000003,0.0,0.5,0.3,22.808349609375,15.37331485748291
321000000003,0.0,0.6,0.3,21.00458526611328,15.915542602539062
321000000003,0.0,0.7,0.3,20.24860572814941,14.573075294494627
321000000003,0.0,0.8,0.3,17.127159118652344,22.463911056518555
321000000003,0.0,0.9,0.3,15.943951606750488,14.534838676452637
321000000003,0.0,1.0,0.3,15.014275550842283,16.45568084716797
321000000004,0.0,0.0,0.3,19.11117553710937,11.56699275970459
321000000004,0.0,0.1,0.3,19.10957717895508,11.734756469726562
321000000004,0.0,0.2,0.3,19.09163856506348,11.687273979187012
321000000004,0.0,0.3,0.3,19.016468048095703,11.699851989746094
321000000004,0.0,0.4,0.3,18.7041015625,14.475663185119627
321000000004,0.0,0.5,0.3,18.348657608032227,14.944036483764648
321000000004,0.0,0.6,0.3,17.377769470214844,14.661264419555664
321000000004,0.0,0.7,0.3,16.62529182434082,16.128019332885742
321000000004,0.0,0.8,0.3,18.169898986816406,12.614020347595217
