sample_id,category,t_start,t_end,t_delta,whole_psnr,clip_edited,image_path
0,0_random_140,0.35,0.7,0.0,12.47457,0.235013,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p7.png
0,0_random_140,0.45,0.7,0.0,12.421385,0.237443,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p7.png
0,0_random_140,0.55,0.7,0.0,12.002306,0.238011,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p7.png
0,0_random_140,0.65,0.7,0.0,12.023607,0.242694,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p7.png
0,0_random_140,0.75,0.7,0.0,11.403086,0.248604,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p7.png
0,0_random_140,0.85,0.7,0.0,11.26936,0.235929,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p7.png
0,0_random_140,0.0,0.8,0.0,10.634018,0.227943,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p8.png
0,0_random_140,0.05,0.8,0.0,10.634016,0.228875,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p8.png
0,0_random_140,0.15,0.8,0.0,10.631404,0.227603,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p8.png
0,0_random_140,0.25,0.8,0.0,10.628181,0.22733,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p8.png
