sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000000,annotation_images,0.5,0.7,0.0,13.493660926818848,28.477558135986328,/00000000/cells/t_start_0p5__t_end_0p7.jpg
00000000,annotation_images,0.5,0.8,0.0,13.08740234375,28.497426986694336,/00000000/cells/t_start_0p5__t_end_0p8.jpg
00000000,annotation_images,0.5,0.9,0.0,11.856593132019043,29.485448837280273,/00000000/cells/t_start_0p5__t_end_0p9.jpg
00000000,annotation_images,0.5,1.0,0.0,10.764007568359375,27.449161529541016,/00000000/cells/t_start_0p5__t_end_1p0.jpg
00000000,annotation_images,0.6,0.0,0.0,16.305444717407227,15.736344337463379,/00000000/cells/t_start_0p6__t_end_0p0.jpg
00000000,annotation_images,0.6,0.1,0.0,16.385400772094727,18.420995712280273,/00000000/cells/t_start_0p6__t_end_0p1.jpg
00000000,annotation_images,0.6,0.2,0.0,15.91253662109375,19.750316619873047,/00000000/cells/t_start_0p6__t_end_0p2.jpg
00000000,annotation_images,0.6,0.3,0.0,15.230046272277832,20.36902618408203,/00000000/cells/t_start_0p6__t_end_0p3.jpg
00000000,annotation_images,0.6,0.4,0.0,14.450616836547852,25.773412704467773,/00000000/cells/t_start_0p6__t_end_0p4.jpg
00000000,annotation_images,0.6,0.5,0.0,13.79462718963623,25.054908752441406,/00000000/cells/t_start_0p6__t_end_0p5.jpg
00000000,annotation_images,0.6,0.6,0.0,13.040655136108398,25.91189193725586,/00000000/cells/t_start_0p6__t_end_0p6.jpg
00000000,annotation_images,0.6,0.7,0.0,12.704263687133789,22.043394088745117,/00000000/cells/t_start_0p6__t_end_0p7.jpg
00000000,annotation_images,0.6,0.8,0.0,12.404489517211914,27.34490394592285,/00000000/cells/t_start_0p6__t_end_0p8.jpg
00000000,annotation_images,0.6,0.9,0.0,12.011659622192383,28.93565559387207,/00000000/cells/t_start_0p6__t_end_0p9.jpg
00000000,annotation_images,0.6,1.0,0.0,10.70305347442627,27.301607131958008,/00000000/cells/t_start_0p6__t_end_1p0.jpg
00000000,annotation_images,0.7,0.0,0.0,15.723299026489258,18.840299606323242,/00000000/cells/t_start_0p7__t_end_0p0.jpg
00000000,annotation_images,0.7,0.1,0.0,15.973152160644531,17.148134231567383,/00000000/cells/t_start_0p7__t_end_0p1.jpg
00000000,annotation_images,0.7,0.2,0.0,15.826343536376953,20.105440139770508,/00000000/cells/t_start_0p7__t_end_0p2.jpg
