sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image,combined_quality_score
221000000009,0.0,0.0,0.0,25.6533317565918,27.559873580932617,0.560889434156405
222000000000,0.0,0.0,0.0,33.022220611572266,27.306610107421875,0.7090100914481693
222000000001,0.0,0.0,0.0,33.971923828125,21.80097198486328,0.6257697293565267
222000000002,0.0,0.0,0.0,30.415529251098636,18.604101181030277,0.4922251342709404
222000000003,0.0,0.0,0.0,28.005281448364254,22.88993263244629,0.5223617314713113
222000000004,0.0,0.0,0.0,26.36647224426269,20.399560928344727,0.44180403709419236
222000000005,0.0,0.0,0.0,33.38924026489258,19.602636337280277,0.572579978352136
222000000006,0.0,0.0,0.0,32.410926818847656,17.997562408447266,0.5222758891413499
222000000007,0.0,0.0,0.0,31.382049560546875,20.786190032958984,0.5530732032519852
222000000008,0.0,0.0,0.0,33.558433532714844,24.326313018798828,0.664409533747311
222000000009,0.0,0.0,0.0,22.13547134399414,22.635417938232425,0.39584303146647715
223000000000,0.0,0.0,0.0,33.84468078613281,16.242876052856445,0.5192089946305598
223000000001,0.0,0.0,0.0,39.64038848876953,27.22337913513184,0.8447373695738077
223000000002,0.0,0.0,0.0,27.57240867614746,21.337390899658203,0.4843541593312189
223000000003,0.0,0.0,0.0,37.48506546020508,29.791969299316406,0.8480542379030169
223000000004,0.0,0.0,0.0,32.544803619384766,30.303550720214844,0.7551414667474103
223000000005,0.0,0.0,0.0,27.66433906555176,21.008583068847656,0.48011329828232574
223000000006,0.0,0.0,0.0,35.019874572753906,25.600948333740234,0.7185570406898472
223000000007,0.0,0.0,0.0,27.92415809631348,25.106508255004883,0.562122891244723
223000000008,0.0,0.0,0.0,23.89214134216309,28.44193649291992,0.5408484899689012
223000000009,0.0,0.0,0.0,33.200199127197266,21.69147491455078,0.6077142182464002
224000000000,0.0,0.0,0.0,33.39207458496094,19.882761001586918,0.5778763412572184
224000000001,0.0,0.0,0.0,27.394821166992188,28.537017822265625,0.6152838295257219
224000000002,0.0,0.0,0.0,25.933868408203125,21.30289459228516,0.4497202345574411
224000000003,0.0,0.0,0.0,26.25634765625,23.31296157836914,0.4939923448316411
224000000004,0.0,0.0,0.0,25.698904037475582,17.57339859008789,0.37511483614267355
224000000005,0.0,0.0,0.0,32.85578155517578,27.161327362060547,0.7028411830867134
224000000006,0.0,0.0,0.0,26.544404983520508,23.629648208618164,0.5058888192087547
224000000007,0.0,0.0,0.0,33.836021423339844,20.045528411865234,0.5901286272459725
224000000008,0.0,0.0,0.0,28.58497428894043,22.396020889282227,0.5251517402440586
224000000009,0.0,0.0,0.0,26.055030822753903,23.59718132019043,0.4951304803463738
311000000000,0.0,0.0,0.0,35.818695068359375,21.18777847290039,0.6526130395769537
311000000001,0.0,0.0,0.0,34.18036651611328,19.27374839782715,0.5828413366159664
311000000002,0.0,0.0,0.0,26.698564529418945,32.17861557006836,0.668929056211226
311000000003,0.0,0.0,0.0,24.919347763061523,23.361143112182617,0.4671592510755856
311000000004,0.0,0.0,0.0,28.18084526062012,30.73739624023437,0.6727297538826262
311000000005,0.0,0.0,0.0,27.22989845275879,29.29664802551269,0.6260657864420094
311000000006,0.0,0.0,0.0,33.76056671142578,26.008495330810547,0.7000547026291555
311000000007,0.0,0.0,0.0,27.967269897460938,23.58819580078125,0.5346288639635731
311000000008,0.0,0.0,0.0,25.350725173950195,27.176834106445312,0.5474505406526291
311000000009,0.0,0.0,0.0,33.154022216796875,26.007509231567383,0.6874544548423914
312000000000,0.0,0.0,0.0,29.329057693481445,24.877086639404297,0.5869757608070373
312000000001,0.0,0.0,0.0,25.003665924072266,22.32759094238281,0.44958368381177694
312000000002,0.0,0.0,0.0,26.464160919189453,20.894142150878903,0.4530777586283118
312000000003,0.0,0.0,0.0,25.35529899597168,25.64165496826172,0.5188417425608447
312000000004,0.0,0.0,0.0,31.610092163085938,25.069129943847656,0.6378829164377929
312000000005,0.0,0.0,0.0,26.32231903076172,31.689239501953125,0.6519744342452671
312000000006,0.0,0.0,0.0,30.032421112060547,19.863704681396484,0.5078293190613102
312000000007,0.0,0.0,0.0,30.802417755126957,30.663240432739254,0.725723635152224
312000000008,0.0,0.0,0.0,26.377559661865234,23.65612030029297,0.5029228318642034
312000000009,0.0,0.0,0.0,28.30195999145508,28.33505630493164,0.6303248648418172
313000000000,0.0,0.0,0.0,23.27602195739746,28.63434600830078,0.5316655982006896
313000000001,0.0,0.0,0.0,34.95392608642578,18.638744354248047,0.5870147631096287
313000000002,0.0,0.0,0.0,28.82561492919922,23.27203369140625,0.5465225083929502
313000000003,0.0,0.0,0.0,22.722797393798828,22.65267372131348,0.408348821719645
313000000004,0.0,0.0,0.0,31.36125946044922,15.6389799118042,0.45640311439594716
313000000005,0.0,0.0,0.0,27.97050666809082,25.02853202819824,0.5616263760029687
313000000006,0.0,0.0,0.0,35.406639099121094,20.87440490722656,0.6382063539308251
313000000007,0.0,0.0,0.0,24.83309555053711,24.98773765563965,0.49578297904197066
313000000008,0.0,0.0,0.0,28.562477111816406,26.23004913330078,0.5963709729118026
313000000009,0.0,0.0,0.0,32.94314193725586,23.60637664794922,0.6381854262983864
314000000000,0.0,0.0,0.0,30.75248146057129,24.142656326293945,0.602770595877128
314000000001,0.0,0.0,0.0,30.049331665039062,17.967195510864258,0.47272053809091075
314000000002,0.0,0.0,0.0,30.97851181030273,24.900161743164062,0.6216225307430954
