sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
3,0.15,0.2,0.8,23.181906672911428,29.18070602416992
3,0.15,0.2,0.9,23.181906672911428,29.18070602416992
3,0.15,0.2,1.0,23.181906672911428,29.18070602416992
3,0.15,0.3,0.0,27.04407629678084,24.89774703979492
3,0.15,0.3,0.1,24.45747824776728,29.887664794921875
3,0.15,0.3,0.2,22.952810522086672,30.55491065979004
3,0.15,0.3,0.3,21.343572564692863,30.917644500732425
3,0.15,0.3,0.4,21.343572564692863,30.917644500732425
3,0.15,0.3,0.5,21.343572564692863,30.917644500732425
3,0.15,0.3,0.6,21.343572564692863,30.917644500732425
3,0.15,0.3,0.7,21.343572564692863,30.917644500732425
3,0.15,0.3,0.8,21.343572564692863,30.917644500732425
3,0.15,0.3,0.9,21.343572564692863,30.917644500732425
3,0.15,0.3,1.0,21.343572564692863,30.917644500732425
3,0.15,0.4,0.0,26.17868730446716,26.6291446685791
3,0.15,0.4,0.1,24.05770849340399,30.257871627807617
3,0.15,0.4,0.2,22.64457575070008,30.307418823242188
3,0.15,0.4,0.3,21.18159653681221,31.35259246826172
3,0.15,0.4,0.4,19.619825228272223,30.437559127807617
3,0.15,0.4,0.5,19.619825228272223,30.437559127807617
3,0.15,0.4,0.6,19.619825228272223,30.437559127807617
3,0.15,0.4,0.7,19.619825228272223,30.437559127807617
3,0.15,0.4,0.8,19.619825228272223,30.437559127807617
3,0.15,0.4,0.9,19.619825228272223,30.437559127807617
3,0.15,0.4,1.0,19.619825228272223,30.437559127807617
3,0.15,0.5,0.0,24.65992939622064,28.76071548461914
3,0.15,0.5,0.1,23.21837138899027,30.499792098999023
3,0.15,0.5,0.2,22.05283911533094,30.6875
3,0.15,0.5,0.3,20.685696083023984,30.68800544738769
3,0.15,0.5,0.4,19.11350106289216,28.67584609985352
3,0.15,0.5,0.5,17.472198844890308,29.36387062072754
3,0.15,0.5,0.6,17.472198844890308,29.36387062072754
3,0.15,0.5,0.7,17.472198844890308,29.36387062072754
3,0.15,0.5,0.8,17.472198844890308,29.36387062072754
3,0.15,0.5,0.9,17.472198844890308,29.36387062072754
3,0.15,0.5,1.0,17.472198844890308,29.36387062072754
3,0.15,0.6,0.0,21.9010898387844,26.931825637817383
3,0.15,0.6,0.1,21.51994875241885,30.847442626953125
3,0.15,0.6,0.2,20.8787596268548,30.98800277709961
3,0.15,0.6,0.3,19.690168158876883,29.931713104248047
3,0.15,0.6,0.4,18.335175471504268,29.09444808959961
3,0.15,0.6,0.5,16.985504596014238,26.7664794921875
3,0.15,0.6,0.6,16.041708652798317,27.98170661926269
3,0.15,0.6,0.7,16.041708652798317,27.98170661926269
3,0.15,0.6,0.8,16.041708652798317,27.98170661926269
3,0.15,0.6,0.9,16.041708652798317,27.98170661926269
3,0.15,0.6,1.0,16.041708652798317,27.98170661926269
3,0.15,0.7,0.0,19.768834416144312,30.560489654541016
3,0.15,0.7,0.1,19.628496257340228,30.6731014251709
3,0.15,0.7,0.2,19.377204064899622,31.17384910583496
3,0.15,0.7,0.3,18.534692584091285,30.054935455322266
3,0.15,0.7,0.4,17.115355186678997,28.254657745361328
3,0.15,0.7,0.5,16.245986682832513,30.57270622253418
3,0.15,0.7,0.6,15.420901204436325,29.577577590942383
3,0.15,0.7,0.7,14.418677882697004,30.636579513549805
3,0.15,0.7,0.8,14.418677882697004,30.636579513549805
3,0.15,0.7,0.9,14.418677882697004,30.636579513549805
3,0.15,0.7,1.0,14.418677882697004,30.636579513549805
3,0.15,0.8,0.0,17.751100904804265,28.085803985595703
3,0.15,0.8,0.1,17.742553301338575,31.447006225585938
3,0.15,0.8,0.2,17.58949262180641,30.81659698486328
3,0.15,0.8,0.3,17.216696504086602,30.3316707611084
3,0.15,0.8,0.4,16.45782175315513,29.979124069213867
3,0.15,0.8,0.5,15.473943050211831,28.851295471191406
3,0.15,0.8,0.6,14.812251730296458,26.759933471679688
3,0.15,0.8,0.7,13.88987719756637,29.73082733154297
3,0.15,0.8,0.8,13.001714888602049,31.33212852478028
