file_id,classifier_full_sdturbo_t00_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t00_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t01_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t01_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t02_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t02_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t03_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t03_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t04_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t04_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t05_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t05_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t06_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t06_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t07_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t07_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t08_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t08_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t09_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t09_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t10_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t10_delta0_tc030|clip_similarity_target_image_edit_part
000000000010,23.465456008911133,17.1190185546875,23.49494171142578,17.098237991333008,23.507457733154297,19.559078216552734,23.338762283325195,20.392730712890625,23.131710052490234,18.636770248413086,22.597122192382812,18.44334602355957,20.64735984802246,20.668298721313477,18.191692352294922,20.076316833496094,16.844865798950195,20.750341415405273,18.610971450805664,21.880563735961914,19.21023178100586,24.51747703552246
000000000011,29.202011108398438,18.99309730529785,29.211854934692383,18.55091667175293,29.17284393310547,18.857681274414062,29.04497718811035,18.952131271362305,28.948863983154297,19.610864639282227,28.93960189819336,21.24651336669922,29.09402084350586,21.617572784423828,28.844425201416016,23.587665557861328,24.643835067749023,23.633617401123047,23.915761947631836,21.827468872070312,23.188838958740234,21.320444107055664
000000000012,27.186851501464844,17.35702133178711,27.181283950805664,17.300485610961914,27.178146362304688,17.927997589111328,27.1160945892334,19.657331466674805,26.987634658813477,21.518741607666016,26.527008056640625,22.7915096282959,25.02052879333496,26.2794132232666,23.76982307434082,25.142627716064453,22.44807243347168,25.33460807800293,19.640287399291992,26.85285186767578,16.315576553344727,26.727617263793945
000000000013,25.86566162109375,16.86219596862793,25.83114242553711,16.858266830444336,25.794906616210938,19.907258987426758,25.61273956298828,17.824462890625,25.2718563079834,19.743549346923828,25.329769134521484,21.432348251342773,24.958171844482422,22.02888298034668,22.643888473510742,22.45750617980957,19.854248046875,24.36343002319336,12.603164672851562,23.541488647460938,17.03764533996582,24.17861557006836
000000000014,29.626331329345703,21.53489112854004,29.607175827026367,21.397218704223633,29.637210845947266,21.312103271484375,29.37405776977539,21.039134979248047,29.488954544067383,21.38320541381836,29.484355926513672,21.541507720947266,29.625186920166016,21.237876892089844,28.892377853393555,21.295202255249023,22.558610916137695,21.777324676513672,23.957077026367188,21.650310516357422,22.808053970336914,21.25811195373535
000000000015,26.8414306640625,17.763181686401367,26.851764678955078,17.547786712646484,26.77022933959961,16.40234375,26.42171287536621,19.39997673034668,26.800386428833008,24.566181182861328,25.38938331604004,25.026979446411133,24.96555519104004,25.287214279174805,22.388418197631836,22.34417724609375,19.184513092041016,23.622726440429688,16.468467712402344,27.538311004638672,12.324516296386719,26.36398696899414
000000000016,21.353103637695312,18.155534744262695,21.357784271240234,19.102293014526367,21.39221954345703,19.13858413696289,21.279199600219727,20.32500648498535,20.927047729492188,23.915279388427734,20.546907424926758,23.043684005737305,20.770549774169922,26.6506404876709,19.72564697265625,24.949016571044922,16.58249282836914,23.10733413696289,15.854036331176758,20.472795486450195,14.431120872497559,23.64750862121582
000000000017,nan,19.580842971801758,nan,19.777631759643555,nan,19.96074104309082,nan,20.239152908325195,nan,19.53105926513672,nan,19.825862884521484,nan,19.178857803344727,nan,21.427452087402344,nan,21.997314453125,nan,21.86376953125,nan,22.745346069335938
000000000018,23.766403198242188,19.855636596679688,23.769878387451172,19.979209899902344,23.764911651611328,19.926950454711914,23.689149856567383,19.319751739501953,23.737703323364258,19.48662757873535,23.670963287353516,19.483808517456055,23.645353317260742,20.313901901245117,22.606815338134766,21.770299911499023,22.106307983398438,20.82162094116211,19.516401290893555,19.45566749572754,14.52630615234375,19.06505584716797
000000000019,20.328969955444336,22.71474838256836,20.316308975219727,23.213228225708008,20.292020797729492,22.718547821044922,20.153644561767578,23.007535934448242,20.08344268798828,23.914989471435547,19.606021881103516,23.268436431884766,18.6094970703125,23.068809509277344,17.52996253967285,22.5975399017334,16.66734504699707,22.13348388671875,16.954858779907227,16.073217391967773,16.33586883544922,19.704517364501953
