sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
57,0.0,0.0,0.0,20.8633041381836,23.60059928894043
58,0.0,0.0,0.0,25.70112609863281,20.231664657592773
59,0.0,0.0,0.0,32.01616668701172,21.921703338623047
60,0.0,0.0,0.0,37.418365478515625,21.561569213867188
61,0.0,0.0,0.0,21.11176300048828,23.511228561401367
62,0.0,0.0,0.0,29.42959785461425,22.46201133728028
63,0.0,0.0,0.0,26.13207244873047,22.772872924804688
64,0.0,0.0,0.0,22.062061309814453,23.102792739868164
65,0.0,0.0,0.0,26.469444274902344,23.50089263916016
66,0.0,0.0,0.0,28.955368041992188,26.99194526672364
67,0.0,0.0,0.0,26.35635566711425,24.28603172302246
68,0.0,0.0,0.0,31.091609954833984,24.2874813079834
69,0.0,0.0,0.0,26.638702392578125,14.676252365112305
70,0.0,0.0,0.0,34.035552978515625,27.661693572998047
71,0.0,0.0,0.0,39.944950103759766,23.05802345275879
72,0.0,0.0,0.0,32.891456604003906,18.467735290527344
73,0.0,0.0,0.0,27.25651741027832,25.24081993103028
74,0.0,0.0,0.0,30.44820785522461,22.47614479064941
75,0.0,0.0,0.0,29.50610542297364,17.11311912536621
76,0.0,0.0,0.0,29.83099937438965,20.95486640930176
77,0.0,0.0,0.0,23.18558883666992,25.59223175048828
78,0.0,0.0,0.0,30.989452362060547,17.403167724609375
79,0.0,0.0,0.0,32.19395446777344,22.24951362609864
80,0.0,0.0,0.0,33.03482437133789,25.07255744934082
81,0.0,0.0,0.0,25.312721252441406,22.808263778686523
82,0.0,0.0,0.0,28.725357055664062,27.00742530822754
83,0.0,0.0,0.0,35.48035430908203,29.667621612548828
84,0.0,0.0,0.0,25.34678077697754,23.33126640319824
85,0.0,0.0,0.0,27.965150833129883,25.910877227783203
86,0.0,0.0,0.0,27.577770233154297,19.037139892578125
87,0.0,0.0,0.0,28.84634590148925,21.22916030883789
88,0.0,0.0,0.0,22.042654037475582,24.87413787841797
89,0.0,0.0,0.0,36.15129470825195,20.920711517333984
90,0.0,0.0,0.0,31.230270385742188,23.858516693115234
91,0.0,0.0,0.0,22.993690490722656,21.586048126220703
92,0.0,0.0,0.0,23.81506729125977,24.79997062683105
93,0.0,0.0,0.0,27.42701530456543,9.054221153259276
94,0.0,0.0,0.0,28.998231887817383,22.974056243896484
95,0.0,0.0,0.0,26.312461853027344,26.6172103881836
96,0.0,0.0,0.0,28.018848419189453,18.84140014648437
97,0.0,0.0,0.0,19.44222068786621,26.32015609741211
98,0.0,0.0,0.0,28.444334030151367,21.322473526000977
99,0.0,0.0,0.0,26.61376953125,18.70121955871582
100,0.0,0.0,0.0,28.801870346069336,28.201229095458984
101,0.0,0.0,0.0,21.994848251342773,16.7082462310791
102,0.0,0.0,0.0,31.23422622680664,20.60193634033203
103,0.0,0.0,0.0,25.877344131469727,23.566755294799805
104,0.0,0.0,0.0,28.614107131958008,19.60439682006836
105,0.0,0.0,0.0,18.606876373291016,22.624292373657227
